閒聊	xian2liao2
病患	bing4huan4
篩檢	shai1jian3
國防生產	guo2fang2 sheng1chan3
通用汽車公司	Tong1yong4 Qi4che1 Gong1si1
患者	huan4zhe3
冰島	Bing1dao3
基因	ji1yin1
利用	li4yong4
變異	bian4yi4
並	bing4
雙重感染	shuang1chong2 gan3ran3
元首	yuan2shou3
查爾斯	Cha2er3si1
結束	jie2shu4
為期	wei2qi1
波旁	Bo1pang2
王室	wang2shi4
前衛	qian2wei4
稱號	cheng1hao4
家喻戶曉	jia1yu4-hu4xiao3
喜劇演員	xi3ju4 yan3yuan2
病逝	bing4shi4
享年	xiang3nian2
增產	zeng1chan3
冠狀病毒	guan1zhuang4bing4du2
花色	hua1se4
線索	xian4suo3
提示	ti2shi4
闖關	chuang3//guan1
決策	jue2ce4
明快	ming2kuai4
傑出	jie2chu1
挪威	Nuo2wei1
榜上有名	bang3shang4you3ming2
凸顯	tu1xian3
治理	zhi4li3
推崇	tui1chong2
讚揚	zan4yang2
政策	zheng4ce4
頒布	ban1bu4
連串	lian2chuan4
防堵	fang2du3
清楚	qing1chu5
告知	gao4zhi1
決斷	jue2duan4
避開	bi4kai1
初	chu1
淡定	dan4ding4
非同小可	fei1tong2xiao3ke3
雖	sui1
重創	zhong4chuang1
職場	zhi2chang3
私交	si1jiao1
緊繃	jin3beng1
捷克	Jie2ke4
某些	mou3xie1
受災	shou4zai1
計畫	ji4hua4
放寬	fang4kuan1
須	xu1
禁令	jin4ling4
知名	zhi1ming2
啤酒節	pi2jiu3jie2
停辦	ting2ban4
享有	xiang3you3
盛名	sheng4ming2
慶祝	qing4zhu4
返鄉	fan3xiang1
傳統	chuan2tong3
開齋節	Kai1zhai1jie2
防止	fang2zhi3
沙烏地阿拉伯	Sha1wu1di4 A1la1bo2
及其	ji2qi2
關閉	guan1bi4
清真寺	qing1zhen1si4
聚會	ju4hui4
遏制	e4zhi4
統計	tong3ji4
搶劫案	qiang3jie2an4
髒話	zang1hua4
放緩	fang4huan3
人防	ren2fang2
防	fang2
群聚	qun2ju4
拼字	pin1zi4
聖殿	sheng4dian4
參拜	can1bai4
歡慶	huan1qing4
施洗	shi1//xi3
彌賽亞	Mi2sai4ya4
詭詐	gui3zha4
祕籍	mi4ji2
踢爆	ti1bao4
甘心	gan1xin1
穿插	chuan1cha1
不妥	bu4tuo3
荒唐	huang1tang5
逾越節	yu2yue4jie2
薰衣草	xun1yi1cao3
薄荷	bo4he5
鼠尾草	shu3wei3cao3
銅	tong2
茴香	hui2xiang1
丁香	ding1xiang1
藏紅花	zang4hong2hua1
百里香	bai3li3xiang1
留蘭香	liu2lan2xiang1
山葵	shan1kui2
墨角蘭	mo4jiao3lan2
偵探	zhen1tan4
妖精	yao1jing5
簧片	huang2pian4
畫架	hua4jia4
藉著	jie4zhe5
暴露	bao4lu4
獄	yu4
潔淨	jie2jing4
辯論	bian4lun4
賜	ci4
什錦	shi2jin3
疲倦	pi2juan4
婦人	fu4ren2
不相往來	bu4xiang1wang3lai2
祖先	zu3xian1
童子軍	Tong2zi3jun1
薑	jiang1
宿醉	su4zui4
西芹	xi1qin2
希奇	xi1qi2
撇下	pie1xia5
罐	guan4
心靈	xin1ling2
彼此	bi3ci3
遵行	zun1xing2
旨意	zhi3yi4
莊稼	zhuang1jia5
熟	shu2
收割	shou1ge1
積儲	ji1chu3
五穀	wu3gu3
撒種	sa3zhong3
瑜伽	yu2jia1
通融	tong1rong5
反饋	fan3kui4
曖昧	ai4mei4
復工	fu4//gong1
尊敬	zun1jing4
奇事	qi2shi4
迎	ying2
好轉	hao3zhuan3
洋芋	yang2yu4
希伯來	Xi1bo2lai2
走廊	zou3lang2
躺	tang3
瘸腿	que2tui3
癱瘓	tan1huan4
痊癒	quan2yu4
殿	dian4
犯罪	fan4//zui4
禍患	huo4huan4
迫害	po4hai4
若	ruo4
特殊	te4shu1
列為	lie4wei2
歧視	qi2shi4
