呼應	verb echo; work in concert with	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">互相呼應</td><td style="width: 33.3333%;">echo each other</td><td style="width: 33.3333%;">hùxiāng hūyìng</td></tr></tbody></table>	呼應
追蹤	verb follow the trail of; track; trace	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">追蹤竊賊</td><td style="width: 33.3333%;">pursue a thief</td><td style="width: 33.3333%;">zhuīzōng qièzéi</td></tr><tr><td style="width: 33.3333%;">用雷達追蹤一架飛機</td><td style="width: 33.3333%;">track a plane by means of radar</td><td style="width: 33.3333%;">Yòng léidá zhuīzōng yī jià fēijī</td></tr></tbody></table>	追蹤
成千上萬	idiom thousands and tens of thousands; thousands upon thousands	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">成千上萬的人</td><td style="width: 33.3333%;">tens of thousands of people</td><td style="width: 33.3333%;">Chéngqiānshàngwàn de rén</td></tr></tbody></table>	成千上萬
儘管	adverb 1 dialect always; all the time conjunction though; even though; in spite of; despite 2 feel free to; not hesitate to	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">儘管旱情嚴重, 今年的小麥還是豐收了。</td><td style="width: 33.3333%;">Despite the serious drought, the wheat harvest this year was good.</td><td style="width: 33.3333%;">Jǐnguǎn hànqíng yánzhòng, jīnnián de xiǎomài háishi fēngshōu le.</td></tr><tr><td style="width: 33.3333%;">儘管身體不好, 他仍然堅持工作。</td><td style="width: 33.3333%;">Though he’s not in good health, he still keeps working.</td><td style="width: 33.3333%;">jǐnguǎn shēntǐ bù hǎo, tā réngrán jiānchí gōngzuò.</td></tr><tr><td style="width: 33.3333%;">我喜歡這個工作, 儘管報酬很低。</td><td style="width: 33.3333%;">I like the job, even though it’s badly paid.</td><td style="width: 33.3333%;">Wǒ xǐhuan zhège gōngzuò, jǐnguǎn bàochou hěn dī.</td></tr><tr><td style="width: 33.3333%;">你儘管拿吧。</td><td style="width: 33.3333%;">You’re welcome to it. or Take as much as you like.</td><td style="width: 33.3333%;">Nǐ jǐnguǎn ná ba.</td></tr><tr><td style="width: 33.3333%;">工作有我們, 你儘管放心吧。</td><td style="width: 33.3333%;">Don’t worry. We’ll look after things.</td><td style="width: 33.3333%;">Gōngzuò yǒu wǒmen, nǐ jǐnguǎn fàngxīn ba.</td></tr><tr><td style="width: 33.3333%;">有什麼問題儘管問。</td><td style="width: 33.3333%;">If you have any questions, don’t hesitate to ask.</td><td style="width: 33.3333%;">Yǒu shénme wèntí jǐnguǎn wèn.</td></tr></tbody></table>	儘管
逐漸	adverb gradually; by degrees	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">他對情況逐漸熟悉起來。</td><td style="width: 33.3333%;">He’s gradually becoming acquainted with the situation.</td><td style="width: 33.3333%;">tā duì qíngkuàng zhújiàn shúxī qǐlai.</td></tr><tr><td style="width: 33.3333%;">天逐漸暗了下來。</td><td style="width: 33.3333%;">It’s getting dark.</td><td style="width: 33.3333%;">Tiān zhújiàn àn le xiàlai.</td></tr></tbody></table>	逐漸
率先	adverb take the lead in doing sth.; be the first to do sth.; firstly	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">率先進入半決賽</td><td style="width: 33.3333%;">be the first to qualify for the semi-final</td><td style="width: 33.3333%;">shuàixiān jìnrù bànjuésài</td></tr></tbody></table>	率先
逐步	adverb step by step; progressively	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">逐步加以解決</td><td style="width: 33.3333%;">resolve step by step; deal with gradually</td><td style="width: 33.3333%;">zhúbù jiāyǐ jiějué</td></tr><tr><td style="width: 33.3333%;">逐步降低生產成本</td><td style="width: 33.3333%;">progressively reduce the production cost</td><td style="width: 33.3333%;">zhúbù jiàngdī shēngchǎn chéngběn</td></tr><tr><td style="width: 33.3333%;">戰爭正在逐步升級。</td><td style="width: 33.3333%;">The war is escalating.</td><td style="width: 33.3333%;">Zhànzhēng zhèngzài zhúbù shēngjí.</td></tr></tbody></table>	逐步
因應	verb 1 cope (or deal) with 2 adapt oneself to; comply with; conform to	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">因應變局</td><td style="width: 33.3333%;">cope with changes</td><td style="width: 33.3333%;">yīnyìng biànjú</td></tr><tr><td style="width: 33.3333%;">因應市場的需求</td><td style="width: 33.3333%;">deal with market demands</td><td style="width: 33.3333%;">yīnyìng shìchǎng de xūqiú</td></tr><tr><td style="width: 33.3333%;">因應挑戰</td><td style="width: 33.3333%;">adapt oneself to challenges</td><td style="width: 33.3333%;">yīnyìng tiǎozhàn</td></tr><tr><td style="width: 33.3333%;">針對形勢的變化而妥善因應</td><td style="width: 33.3333%;">comply with the changes of the situation</td><td style="width: 33.3333%;">zhēnduì xíngshì de biànhuà ér tuǒshàn yīnyìng</td></tr></tbody></table>	因應
舉措	noun move; act; measure	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">一系列積極的舉措</td><td style="width: 33.3333%;">active step after another</td><td style="width: 33.3333%;">Yīxìliè jījí dejǔcuò one</td></tr></tbody></table>	舉措
減緩	verb retard; slow down	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">減緩進程</td><td style="width: 33.3333%;">slow down the pace (or progress)</td><td style="width: 33.3333%;">jiǎnhuǎn jìnchéng</td></tr><tr><td style="width: 33.3333%;">減緩通漲的壓力</td><td style="width: 33.3333%;">ease inflationary pressures</td><td style="width: 33.3333%;">jiǎnhuǎn tōng zhǎng de yālì</td></tr><tr><td style="width: 33.3333%;">天氣寒冷減緩了作物生長的速度。</td><td style="width: 33.3333%;">Cold weather retards the growth of many plants.</td><td style="width: 33.3333%;">tiānqì hánlěng jiǎnhuǎn le zuòwù shēngzhǎng de sùdù.</td></tr></tbody></table>	減緩
蔓延	verb 1 spread; stretch; extend 2 infest; spread	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">夜間火勢進一步蔓延。</td><td style="width: 33.3333%;">The flames spread further at night.</td><td style="width: 33.3333%;">yèjiān huǒshì jìnyībù mànyán.</td></tr><tr><td style="width: 33.3333%;">流感很容易在人群中蔓延。</td><td style="width: 33.3333%;">Flu is liable to spread among people.</td><td style="width: 33.3333%;">Liúgǎn hěn róngyì zài rénqún zhōng mànyán.</td></tr></tbody></table>	蔓延
領袖	noun leader	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">領袖風度</td><td style="width: 33.3333%;">demeanour of a leader</td><td style="width: 33.3333%;">lǐngxiù fēngdù</td></tr></tbody></table>	領袖
政治	noun politics; political affairs	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">政治上可靠</td><td style="width: 33.3333%;">politically reliable</td><td style="width: 33.3333%;">zhèngzhì shàng kěkào</td></tr><tr><td style="width: 33.3333%;">政治歷史清白(清楚)</td><td style="width: 33.3333%;">have a clean (clear) political record</td><td style="width: 33.3333%;">Zhèngzhì lìshǐ qīngbái (qīngchu)</td></tr></tbody></table>	政治
均	adjective equal; even<br>adverb without exception; all	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">人口分布不均。</td><td style="width: 33.3333%;">The population is unevenly distributed.</td><td style="width: 33.3333%;">Rénkǒu fēnbù bù jūn.</td></tr><tr><td style="width: 33.3333%;">各項準備工作均已就緒。</td><td style="width: 33.3333%;">All the preparations are complete.</td><td style="width: 33.3333%;">Gèxiàng zhǔnbèi gōngzuò jūn yǐ jiùxù.</td></tr></tbody></table>	均
上映	verb show (a film); screen; run	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">近日將有几部新片上映。</td><td style="width: 33.3333%;">A number of new films will be shown in the next few days.</td><td style="width: 33.3333%;">Jìnrì jiāng yǒu jǐ bù xīnpiàn shàngyìng.</td></tr></tbody></table>	上映
加緊	verb step up; speed up; intensify	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">加緊生產</td><td style="width: 33.3333%;">step up production</td><td style="width: 33.3333%;">jiājǐn shēngchǎn</td></tr><tr><td style="width: 33.3333%;">加緊準備</td><td style="width: 33.3333%;">speed up preparation</td><td style="width: 33.3333%;">jiājǐn zhǔnbèi</td></tr><tr><td style="width: 33.3333%;">登山隊加緊訓練。</td><td style="width: 33.3333%;">The mountaineering party intensified its training.</td><td style="width: 33.3333%;">Dēngshānduì jiājǐn xùnliàn.</td></tr></tbody></table>	加緊
研發	verb abbreviation research and develop (R&D)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">研發新產品</td><td style="width: 33.3333%;">develop new products</td><td style="width: 33.3333%;">yánfā xīnchǎnpǐn</td></tr></tbody></table>	研發
啟動	verb 1 (of a machine, etc.) start; switch on 2 enforce (law); implement (a plan, etc.) 3 open up; explore	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">這車沒法兒啟動。</td><td style="width: 33.3333%;">The car won’t start.</td><td style="width: 33.3333%;">Zhè chē méifǎr qǐdòng.</td></tr><tr><td style="width: 33.3333%;">正式啟動扶貧工程</td><td style="width: 33.3333%;">officially start the project for poverty alleviation</td><td style="width: 33.3333%;">Zhèngshì qǐdòng fúpín gōngchéng</td></tr><tr><td style="width: 33.3333%;">啟動農村市場</td><td style="width: 33.3333%;">open up the rural market</td><td style="width: 33.3333%;">qǐdòng nóngcūn shìchǎng</td></tr></tbody></table>	啟動
波	noun 1 wave 2 physics wave 3 unexpected turn of events 4 transliteration dialect ball	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">水波</td><td style="width: 33.3333%;">ripple</td><td style="width: 33.3333%;">shuǐbō</td></tr><tr><td style="width: 33.3333%;">一波又一波</td><td style="width: 33.3333%;">one wave after another</td><td style="width: 33.3333%;">yī bō yòu yī bō</td></tr><tr><td style="width: 33.3333%;">電波</td><td style="width: 33.3333%;">electric wave</td><td style="width: 33.3333%;">diànbō</td></tr><tr><td style="width: 33.3333%;">聲波</td><td style="width: 33.3333%;">sound wave</td><td style="width: 33.3333%;">shēngbō</td></tr><tr><td style="width: 33.3333%;">風波</td><td style="width: 33.3333%;">storm; disturbance; trouble</td><td style="width: 33.3333%;">fēngbō</td></tr><tr><td style="width: 33.3333%;">打波</td><td style="width: 33.3333%;">play ball</td><td style="width: 33.3333%;">dǎ bō</td></tr></tbody></table>	波
年輕	adjective young	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">年輕力壯</td><td style="width: 33.3333%;">young and vigorous</td><td style="width: 33.3333%;">niánqīnglìzhuàng</td></tr><tr><td style="width: 33.3333%;">他比我年輕。</td><td style="width: 33.3333%;">He’s younger than I am.</td><td style="width: 33.3333%;">tā bǐ wǒ niánqīng.</td></tr><tr><td style="width: 33.3333%;">幹部要年輕化。</td><td style="width: 33.3333%;">Lower the average age of our government officials.</td><td style="width: 33.3333%;">Gànbù yào niánqīnghuà.</td></tr></tbody></table>	年輕
志願者	noun volunteer	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">義務志願者</td><td style="width: 33.3333%;">unpaid volunteer</td><td style="width: 33.3333%;">yìwù zhìyuànzhě</td></tr><tr><td style="width: 33.3333%;">徵召經過培訓的志願者</td><td style="width: 33.3333%;">recruit trained volunteers</td><td style="width: 33.3333%;">Zhēngzhào jīngguò péixùn dezhìyuànzhě</td></tr></tbody></table>	志願者
證實	verb confirm; verify; bear out	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">證實一個科學上的假設</td><td style="width: 33.3333%;">verify (or bear out) a scientific hypothesis</td><td style="width: 33.3333%;">zhèngshí yī ge kēxué shàng de jiǎshè</td></tr><tr><td style="width: 33.3333%;">有待證實</td><td style="width: 33.3333%;">remain to be confirmed; awaiting confirmation</td><td style="width: 33.3333%;">yǒudài zhèngshí</td></tr><tr><td style="width: 33.3333%;">研究證實了他的理論。</td><td style="width: 33.3333%;">Research bore out his theory.</td><td style="width: 33.3333%;">yánjiū zhèngshí le tā de lǐlùn.</td></tr></tbody></table>	證實
延期	verb postpone; defer; put off	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">延期審理</td><td style="width: 33.3333%;">postponement of the hearing</td><td style="width: 33.3333%;">yánqī shěnlǐ</td></tr><tr><td style="width: 33.3333%;">辦理簽證延期手續</td><td style="width: 33.3333%;">have one’s visa extended; extend a visa</td><td style="width: 33.3333%;">bànlǐ qiānzhèng yánqī shǒuxù</td></tr><tr><td style="width: 33.3333%;">要求延期十年償還債務</td><td style="width: 33.3333%;">demand a ten-year moratorium</td><td style="width: 33.3333%;">Yāoqiú yánqī shí nián chánghuán zhàiwù</td></tr><tr><td style="width: 33.3333%;">比賽因雨延期。</td><td style="width: 33.3333%;">The game was put off on account of rain.</td><td style="width: 33.3333%;">Bǐsài yīn yǔ yánqī.</td></tr></tbody></table>	延期
延後	verb delay; defer; postpone	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">展覽會開幕的日期延遲了。</td><td style="width: 33.3333%;">The opening of the exhibition has been postponed.</td><td style="width: 33.3333%;">Zhǎnlǎnhuì kāimù de rìqī yánchí le.</td></tr></tbody></table>	延後
舉行	verb hold (a meeting, ceremony, etc.)	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">舉行罷工</td><td style="width: 33.3333%;">stage a strike</td><td style="width: 33.3333%;">jǔxíng bàgōng</td></tr><tr><td style="width: 33.3333%;">舉行會談</td><td style="width: 33.3333%;">hold talks</td><td style="width: 33.3333%;">jǔxíng huìtán</td></tr><tr><td style="width: 33.3333%;">舉行宴會</td><td style="width: 33.3333%;">give (or host) a banquet</td><td style="width: 33.3333%;">jǔxíng yànhuì</td></tr><tr><td style="width: 33.3333%;">大會在人民大會堂舉行。</td><td style="width: 33.3333%;">The congress took place (or was held) in the Great Hall of the People.</td><td style="width: 33.3333%;">Dàhuì zài Rénmín Dàhuìtáng jǔxíng.</td></tr><tr><td style="width: 33.3333%;">你們幾時舉行婚禮？</td><td style="width: 33.3333%;">When is your wedding?</td><td style="width: 33.3333%;">Nǐmen jǐ shí jǔxíng hūnlǐ？</td></tr></tbody></table>	舉行
揭幕	verb unveil (a monument, etc.); inaugurate	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">市長為展覽會揭幕。</td><td style="width: 33.3333%;">The mayor inaugurated the exhibition.</td><td style="width: 33.3333%;">Shìzhǎng wèi zhǎnlǎnhuì jiēmù.</td></tr></tbody></table>	揭幕
擇期	verb literary select a day or time	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">擇期完婚</td><td style="width: 33.3333%;">select a day for the marriage ceremony; choose a wedding day</td><td style="width: 33.3333%;">zé qī wánhūn</td></tr></tbody></table>	擇期
反觀	verb look backward; take the reverse into consideration	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">反觀事情的另一方面</td><td style="width: 33.3333%;">look at the other side of the coin</td><td style="width: 33.3333%;">fǎnguān shìqing de lìngyīfāngmiàn</td></tr></tbody></table>	反觀
花色	noun 1 design and colour 2 (of merchandise) variety of designs, sizes, colours, etc.	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">這布的花色很好看。</td><td style="width: 33.3333%;">This cloth is beautiful in both design and colour.</td><td style="width: 33.3333%;">Zhè bù de huāsè hěn hǎokàn.</td></tr><tr><td style="width: 33.3333%;">花色繁多</td><td style="width: 33.3333%;">a great variety</td><td style="width: 33.3333%;">huāsèfánduō</td></tr><tr><td style="width: 33.3333%;">新的花色</td><td style="width: 33.3333%;">latest designs</td><td style="width: 33.3333%;">Xīn de huāsè</td></tr></tbody></table>	花色
線索	noun clue; lead; thread	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">故事的線索</td><td style="width: 33.3333%;">threads of a story; story line; plot</td><td style="width: 33.3333%;">gùshi de xiànsuǒ</td></tr><tr><td style="width: 33.3333%;">破案的線索</td><td style="width: 33.3333%;">clues for solving a case</td><td style="width: 33.3333%;">pò'àn de xiànsuǒ</td></tr><tr><td style="width: 33.3333%;">為深入研究提供線索</td><td style="width: 33.3333%;">provide leads for further study</td><td style="width: 33.3333%;">wèi shēnrù yánjiū tígōng xiànsuǒ</td></tr><tr><td style="width: 33.3333%;">關於他的下落, 沒有找到任何線索。</td><td style="width: 33.3333%;">No clues have been found as to his whereabouts.</td><td style="width: 33.3333%;">Guānyú tā de xiàluò, méiyǒu zhǎodào rènhé xiànsuǒ.</td></tr></tbody></table>	線索
提示	verb point out; prompt	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">請把學習重點向大家提示一下。</td><td style="width: 33.3333%;">Please brief us on the main study points.</td><td style="width: 33.3333%;">Qǐng bǎ xuéxí zhòngdiǎn xiàng dàjiā tíshì yīxià.</td></tr><tr><td style="width: 33.3333%;">如果她忘了臺詞, 你就給她提示一下。</td><td style="width: 33.3333%;">Prompt her if she forgets her lines.</td><td style="width: 33.3333%;">Rúguǒ tā wàng le táicí, nǐ jiù gěi tā tíshì yīxià.</td></tr></tbody></table>	提示
闖關	verb break through barriers; overcome a difficulty	<table style="border-collapse: collapse; width: 100%;" border="1"><tbody><tr><td style="width: 33.3333%;">連闖三關</td><td style="width: 33.3333%;">go through three ordeals in succession</td><td style="width: 33.3333%;">Lián chuǎng sān guān</td></tr></tbody></table>	闖關
